Vou No.,Vou Date,Party Name,GSTIN No.,City,Place of Supply,Product Name,HSN Code,Quantity-1,Item Amount,Expense / Discount,Tax %,Taxable Amt.,IGST,CGST,SGST,Cess,Bill Amount
SCT/2358,12/30/2024,RAKIM MOHAMMEDRAFIK NURANI,,AHMEDABAD,Gujarat,CERAMIC GLAZE TILES,69072300,406,"22,330.00",0,18,"22,330.00",0,"2,010.00","2,010.00",0,"26,350.00"
SCT/2359,12/30/2024,SHYAM HARDWARE,24ADRPB1003C1ZG,RAJKOT,Gujarat,CERAMIC GLAZE TILES,69072300,999,"54,945.00",192,18,"55,137.00",0,"4,962.00","4,962.00",0,"65,061.00"
SCT/2360,12/30/2024,HAJEERA TRADERS,33BCIPM9782J1ZZ,PATTUKKOTTAI,Tamil Nadu,CERAMIC GLAZE TILES,69072300,1140,"74,100.00",259,18,"74,359.00","13,385.00",0,0,0,"87,744.00"
SCT/2361,12/30/2024,OM TILES & BATH HUB,06BGCPG9730N1Z4,HISAR,Haryana,CERAMIC GLAZE TILES,69072300,1980,"99,000.00",346.96,18,"99,346.87","17,882.76",0,0,0,"1,47,354.00"
SCT/2361,12/30/2024,OM TILES & BATH HUB,06BGCPG9730N1Z4,HISAR,Haryana,CERAMIC GLAZE TILES,69072300,848,"25,440.00",89.04,18,"25,529.13","4,595.24",0,0,0,"1,47,354.00"
SCT/2362,12/31/2024,FAMOUS MARBLE AND TILES,09CFAPA4444P1ZA,MEERUT,Uttar Pradesh,CERAMIC GLAZE TILES,69072300,1025,"56,375.00",197,18,"56,572.00","10,183.00",0,0,0,"66,755.00"
SCT/2364,12/31/2024,HARI TILES,33FAZPA2678Q1ZR,MADURAI,Tamil Nadu,CERAMIC GLAZE TILES,69072300,2050,"1,33,250.00",466,18,"1,33,716.00","24,069.00",0,0,0,"1,57,785.00"
SCT/2365,12/31/2024,QCERO CERAMICS LLP,24AAAFQ8463B1ZH,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,693,"41,580.00",0,18,"41,580.00",0,"3,742.00","3,742.00",0,"2,29,958.00"
SCT/2365,12/31/2024,QCERO CERAMICS LLP,24AAAFQ8463B1ZH,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,2555,"1,53,300.00",0,18,"1,53,300.00",0,"13,797.00","13,797.00",0,"2,29,958.00"
SCT/2366,12/31/2024,SHRIRAM ELECTRIC AND SAINTARY HOUSE,08AEMFS9865B1ZH,DAUSA,Rajasthan,CERAMIC GLAZE TILES,69072300,511,"26,572.00",92.68,18,"26,664.96","4,799.33",0,0,0,"2,32,875.00"
